Match,Tournament,StartDate,Type,I/O,Surface,Round,Opponent,Result,Score
512,Doha,1/2,250,Outdoor,Hard,R32,Ivo Minář,W,"6–1, 6–3"
513,Doha,1/2,250,Outdoor,Hard,R16,Fabrice Santoro,W,"7–6(2), 7–6(5)"
514,Doha,1/2,250,Outdoor,Hard,Q,Marcos Baghdatis,W,"6–4, 6–3"
515,Doha,1/2,250,Outdoor,Hard,S,Tommy Haas,W,"6–3, 6–3"
516,Doha,1/2,250,Outdoor,Hard,Win (1),Gaël Monfils,W,"6–3, 7–6(5)"
517,Australian Open,1/16,GS,Outdoor,Hard,R128,Denis Istomin,W,"6–2, 6–3, 6–2"
518,Australian Open,1/16,GS,Outdoor,Hard,R64,Florian Mayer,W,"6–1, 6–4, 6–0"
519,Australian Open,1/16,GS,Outdoor,Hard,R32,Max Mirnyi,W,"6–3, 6–4, 6–3"
520,Australian Open,1/16,GS,Outdoor,Hard,R16,Tommy Haas (2),W,"6–4, 6–0, 3–6, 4–6, 6–2"
521,Australian Open,1/16,GS,Outdoor,Hard,Q,Nikolay Davydenko,W,"6–4, 3–6, 7–6(7), 7–6(5)"
522,Australian Open,1/16,GS,Outdoor,Hard,S,Nicolas Kiefer,W,"6–3, 5–7, 6–0, 6–2"
523,Australian Open,1/16,GS,Outdoor,Hard,Win (2),Marcos Baghdatis (2),W,"5–7, 7–5, 6–0, 6–2"
524,Dubai,2/27,500,Outdoor,Hard,R32,Stanislas Wawrinka,W,"7–6(3), 6–3"
525,Dubai,2/27,500,Outdoor,Hard,R16,Mohammad Ghareeb,W,"7–6(5), 6–4"
526,Dubai,2/27,500,Outdoor,Hard,Q,Robin Vik,W,"6–3, 6–2"
527,Dubai,2/27,500,Outdoor,Hard,S,Mikhail Youzhny,W,"6–2, 6–3"
528,Dubai,2/27,500,Outdoor,Hard,F,Rafael Nadal,L,"6–2, 4–6, 4–6"
-,Indian Wells Masters,3/6,1000,Outdoor,Hard,R128,Bye,,
529,Indian Wells Masters,3/6,1000,Outdoor,Hard,R64,Nicolás Massú,W,"6–3, 7–6(4)"
530,Indian Wells Masters,3/6,1000,Outdoor,Hard,R32,Olivier Rochus,W,"3–6, 6–2, 7–5"
531,Indian Wells Masters,3/6,1000,Outdoor,Hard,R16,Richard Gasquet,W,"6–3, 6–4"
532,Indian Wells Masters,3/6,1000,Outdoor,Hard,Q,Ivan Ljubičić,W,"6–2, 6–3"
533,Indian Wells Masters,3/6,1000,Outdoor,Hard,S,Paradorn Srichaphan,W,"6–2, 6–3"
534,Indian Wells Masters,3/6,1000,Outdoor,Hard,Win (3),James Blake,W,"7–5, 6–3, 6–0"
-,Miami Masters,3/20,1000,Outdoor,Hard,R128,Bye,,
535,Miami Masters,3/20,1000,Outdoor,Hard,R64,Arnaud Clément,W,"6–2, 6–7(4), 6–0"
536,Miami Masters,3/20,1000,Outdoor,Hard,R32,Tommy Haas (3),W,"6–1, 6–3"
537,Miami Masters,3/20,1000,Outdoor,Hard,R16,Dmitry Tursunov,W,"6–3, 6–3"
538,Miami Masters,3/20,1000,Outdoor,Hard,Q,James Blake (2),W,"7–6(2), 6–4"
539,Miami Masters,3/20,1000,Outdoor,Hard,S,David Ferrer,W,"6–1, 6–4"
540,Miami Masters,3/20,1000,Outdoor,Hard,Win (4),Ivan Ljubičić (2),W,"7–6(5), 7–6(4), 7–6(6)"
541,Monte Carlo Masters,4/17,1000,Outdoor,Clay,R64,Novak Djokovic,W,"6–3, 2–6, 6–3"
542,Monte Carlo Masters,4/17,1000,Outdoor,Clay,R32,Alberto Martín,W,"6–0, 6–1"
543,Monte Carlo Masters,4/17,1000,Outdoor,Clay,R16,Benjamin Balleret,W,"6–3, 6–2"
544,Monte Carlo Masters,4/17,1000,Outdoor,Clay,Q,David Ferrer (2),W,"6–1, 6–3"
545,Monte Carlo Masters,4/17,1000,Outdoor,Clay,S,Fernando González,W,"6–2, 6–4"
546,Monte Carlo Masters,4/17,1000,Outdoor,Clay,F,Rafael Nadal (2),L,"2–6, 7–6(2), 3–6, 6–7(5)"
547,Rome Masters,5/8,1000,Outdoor,Clay,R64,Juan Ignacio Chela,W,"6–2, 6–1"
548,Rome Masters,5/8,1000,Outdoor,Clay,R32,Potito Starace,W,"6–3, 7–6(2)"
549,Rome Masters,5/8,1000,Outdoor,Clay,R16,Radek Štěpánek,W,"6–1, 6–4"
550,Rome Masters,5/8,1000,Outdoor,Clay,Q,Nicolás Almagro,W,"6–3, 6–7(2), 7–5"
551,Rome Masters,5/8,1000,Outdoor,Clay,S,David Nalbandian,W,"6–3, 3–6, 7–6(5)"
552,Rome Masters,5/8,1000,Outdoor,Clay,F,Rafael Nadal (3),L,"7–6, 6–7(5), 4–6, 6–2, 6–7(5)"
553,Roland Garros,5/29,GS,Outdoor,Clay,R128,Diego Hartfield,W,"7–5, 7–6(2), 6–2"
554,Roland Garros,5/29,GS,Outdoor,Clay,R64,Alejandro Falla,W,"6–1, 6–4, 6–3"
555,Roland Garros,5/29,GS,Outdoor,Clay,R32,Nicolás Massú (2),W,"6–1, 6–2, 6–7(4), 7–5"
556,Roland Garros,5/29,GS,Outdoor,Clay,R16,Tomáš Berdych,W,"6–3, 6–2, 6–3"
557,Roland Garros,5/29,GS,Outdoor,Clay,Q,Mario Ančić,W,"6–4, 6–3, 6–4"
558,Roland Garros,5/29,GS,Outdoor,Clay,S,David Nalbandian (2),W,"3–6, 6–4, 5–2 RET"
559,Roland Garros,5/29,GS,Outdoor,Clay,F,Rafael Nadal (4),L,"6–1, 1–6, 4–6, 6–7(4)"
560,Halle,6/12,250,Outdoor,Grass,R32,Rohan Bopanna,W,"7–6(4), 6–2"
561,Halle,6/12,250,Outdoor,Grass,R16,Richard Gasquet (2),W,"7–6(7), 6–7(7), 6–4"
562,Halle,6/12,250,Outdoor,Grass,Q,Olivier Rochus (2),W,"6–7(2), 7–6(9), 7–6(5)"
563,Halle,6/12,250,Outdoor,Grass,S,Tommy Haas (4),W,"6–4, 6–7(4), 6–3"
564,Halle,6/12,250,Outdoor,Grass,Win (5),Tomáš Berdych (2),W,"6–0, 6–7(4), 6–2"
565,Wimbledon,6/26,GS,Outdoor,Grass,R128,Richard Gasquet (3),W,"6–3, 6–2, 6–2"
566,Wimbledon,6/26,GS,Outdoor,Grass,R64,Tim Henman,W,"6–4, 6–0, 6–2"
567,Wimbledon,6/26,GS,Outdoor,Grass,R32,Nicolas Mahut,W,"6–3, 7–6(2), 6–4"
568,Wimbledon,6/26,GS,Outdoor,Grass,R16,Tomáš Berdych (3),W,"6–3, 6–3, 6–4"
569,Wimbledon,6/26,GS,Outdoor,Grass,Q,Mario Ančić (2),W,"6–4, 6–4, 6–4"
570,Wimbledon,6/26,GS,Outdoor,Grass,S,Jonas Björkman,W,"6–2, 6–0, 6–2"
571,Wimbledon,6/26,GS,Outdoor,Grass,Win (6),Rafael Nadal (5),W,"6–0, 7–6(5), 6–7(2), 6–3"
572,Canada Masters,8/7,1000,Outdoor,Hard,R64,Paul-Henri Mathieu,W,"6–3, 6–4"
573,Canada Masters,8/7,1000,Outdoor,Hard,R32,Sébastien Grosjean,W,"6–3, 6–3"
574,Canada Masters,8/7,1000,Outdoor,Hard,R16,Dmitry Tursunov (2),W,"6–3, 5–7, 6–0"
575,Canada Masters,8/7,1000,Outdoor,Hard,Q,Xavier Malisse,W,"7–6(4), 6–7(5), 6–3"
576,Canada Masters,8/7,1000,Outdoor,Hard,S,Fernando González (2),W,"6–1, 5–7, 6–3"
577,Canada Masters,8/7,1000,Outdoor,Hard,Win (7),Richard Gasquet (4),W,"2–6, 6–3, 6–2"
578,Cincinnati Masters,8/14,1000,Outdoor,Hard,R64,Paradorn Srichaphan (2),W,"7–5, 6–4"
579,Cincinnati Masters,8/14,1000,Outdoor,Hard,R32,Andy Murray,L,"5–7, 4–6"
580,US Open,8/28,GS,Outdoor,Hard,R128,Jimmy Wang,W,"6–4, 6–1, 6–0"
581,US Open,8/28,GS,Outdoor,Hard,R64,Tim Henman (2),W,"6–3, 6–4, 7–5"
582,US Open,8/28,GS,Outdoor,Hard,R32,Vincent Spadea,W,"6–3, 6–3, 6–0"
583,US Open,8/28,GS,Outdoor,Hard,R16,Marc Gicquel,W,"6–3, 7–6(2), 6–3"
584,US Open,8/28,GS,Outdoor,Hard,Q,James Blake (3),W,"7–6(7), 6–0, 6–7(9), 6–4"
585,US Open,8/28,GS,Outdoor,Hard,S,Nikolay Davydenko (2),W,"6–1, 7–5, 6–4"
586,US Open,8/28,GS,Outdoor,Hard,Win (8),Andy Roddick,W,"6–2, 4–6, 7–5, 6–1"
587,SUI v. SCG WG Play-offs,9/22,DC,Indoor,Hard,RR,Janko Tipsarević,W,"6–3, 6–2, 6–2"
588,SUI v. SCG WG Play-offs,9/22,DC,Indoor,Hard,RR,Novak Djokovic (2),W,"6–3, 6–2, 6–3"
-,Tokyo,10/2,500,Outdoor,Hard,R64,Bye,,
589,Tokyo,10/2,500,Outdoor,Hard,R32,Viktor Troicki,W,"7–6(2), 7–6(3)"
590,Tokyo,10/2,500,Outdoor,Hard,R16,Wesley Moodie,W,"6–2, 6–1"
591,Tokyo,10/2,500,Outdoor,Hard,Q,Takao Suzuki,W,"4–6, 7–5, 7–6(3)"
592,Tokyo,10/2,500,Outdoor,Hard,S,Benjamin Becker,W,"6–3, 6–4"
593,Tokyo,10/2,500,Outdoor,Hard,Win (9),Tim Henman (3),W,"6–3, 6–3"
-,Madrid Masters,10/16,1000,Indoor,Hard,R64,Bye,,
594,Madrid Masters,10/16,1000,Indoor,Hard,R32,Nicolás Massú (3),W,"6–3, 6–2"
595,Madrid Masters,10/16,1000,Indoor,Hard,R16,Robin Söderling,W,"7–6(5), 7–6(8)"
596,Madrid Masters,10/16,1000,Indoor,Hard,Q,Robby Ginepri,W,"6–3, 7–6(4)"
597,Madrid Masters,10/16,1000,Indoor,Hard,S,David Nalbandian (3),W,"6–4, 6–0"
598,Madrid Masters,10/16,1000,Indoor,Hard,Win (10),Fernando González (3),W,"7–5, 6–1, 6–0"
599,Basel,10/23,250,Indoor,Hard,R32,Tomáš Zíb,W,"6–1, 6–2"
600,Basel,10/23,250,Indoor,Hard,R16,Guillermo García-López,W,"6–2, 6–0"
601,Basel,10/23,250,Indoor,Hard,Q,David Ferrer (3),W,"6–3, 7–6(14)"
602,Basel,10/23,250,Indoor,Hard,S,Paradorn Srichaphan (3),W,"6–4, 3–6, 7–6(5)"
603,Basel,10/23,250,Indoor,Hard,Win (11),Fernando González (4),W,"6–3, 6–2, 7–6(3)"
604,Tennis Masters Cup,11/13,WC,Indoor,Hard,RR,David Nalbandian (4),W,"3–6, 6–1, 6–1"
605,Tennis Masters Cup,11/13,WC,Indoor,Hard,RR,Andy Roddick (2),W,"4–6, 7–6(8), 6–4"
606,Tennis Masters Cup,11/13,WC,Indoor,Hard,RR,Ivan Ljubičić (3),W,"7–6(2), 6–4"
607,Tennis Masters Cup,11/13,WC,Indoor,Hard,S,Rafael Nadal (6),W,"6–4, 7–5"
608,Tennis Masters Cup,11/13,WC,Indoor,Hard,Win (12),James Blake (4),W,"6–0, 6–3, 6–4"