Date,Tournament,Surface,Round,Rank,Opponents Rank,Result,Score
21‑Jul‑2025,Kitzbuhel,Clay,F,30,100,(1)Bublik d. Arthur Cazaux [FRA],6-4 6-3
21‑Jul‑2025,Kitzbuhel,Clay,SF,30,103,(1)Bublik d. Botic Van De Zandschulp [NED],6-3 6-4
21‑Jul‑2025,Kitzbuhel,Clay,QF,30,110,(1)Bublik d. Alexander Shevchenko [KAZ],6-4 6-2
21‑Jul‑2025,Kitzbuhel,Clay,R16,30,130,(1)Bublik d. Thiago Agustin Tirante [ARG],6-3 6-4
14‑Jul‑2025,Gstaad,Clay,F,34,109,(2)Bublik d. Juan Manuel Cerundolo [ARG],6-4 4-6 6-3
14‑Jul‑2025,Gstaad,Clay,SF,34,116,(2)Bublik d. Arthur Cazaux [FRA],6-1 7-5
14‑Jul‑2025,Gstaad,Clay,QF,34,74,(2)Bublik d. (7)Francisco Comesana [ARG],6-4 6-3
14‑Jul‑2025,Gstaad,Clay,R16,34,101,(2)Bublik d. Alexander Shevchenko [KAZ],6-2 6-3
30‑Jun‑2025,Wimbledon,Grass,R128,31,55,Jaume Munar [ESP] d. (28)Bublik,6-4 3-6 4-6 7-6(5) 6-2
16‑Jun‑2025,Halle,Grass,F,45,11,Bublik d. (3)Daniil Medvedev [RUS],6-3 7-6(4)
16‑Jun‑2025,Halle,Grass,SF,45,22,Bublik d. (8)Karen Khachanov [RUS],4-6 7-6(5) 6-4
16‑Jun‑2025,Halle,Grass,QF,45,23,Bublik d. (7)Tomas Machac [CZE],7-6(2) 6-3
16‑Jun‑2025,Halle,Grass,R16,45,1,Bublik d. (1)Jannik Sinner [ITA],3-6 6-3 6-4
16‑Jun‑2025,Halle,Grass,R32,45,40,Bublik d. Alexandre Muller [FRA],6-4 6-4
26‑May‑2025,Roland Garros,Clay,QF,62,1,(1)Jannik Sinner [ITA] d. Bublik,6-1 7-5 6-0
26‑May‑2025,Roland Garros,Clay,R16,62,5,Bublik d. (5)Jack Draper [GBR],5-7 6-3 6-2 6-4
26‑May‑2025,Roland Garros,Clay,R32,62,200,Bublik d. (Q)Henrique Rocha [POR],7-5 6-1 6-2
26‑May‑2025,Roland Garros,Clay,R64,62,9,Bublik d. (9)Alex De Minaur [AUS],2-6 2-6 6-4 6-3 6-2
26‑May‑2025,Roland Garros,Clay,R128,62,92,Bublik d. James Duckworth [AUS],6-2 6-4 6-4
18‑May‑2025,Hamburg,Clay,R32,51,32,Giovanni Mpetshi Perricard [FRA] d. Bublik,7-6(6) 6-4
13‑May‑2025,Turin CH,Clay,F,76,73,(8)Bublik d. (7)Bu Yunchaokete [CHN],6-3 6-3
13‑May‑2025,Turin CH,Clay,SF,76,71,(8)Bublik d. (6)Daniel Altmaier [GER],6-2 6-4
13‑May‑2025,Turin CH,Clay,QF,76,51,(8)Bublik d. (3)Tomas Martin Etcheverry [ARG],6-2 3-6 7-5
13‑May‑2025,Turin CH,Clay,R16,76,194,(8)Bublik d. (Alt)Federico Arnaboldi [ITA],0-6 6-3 6-3
13‑May‑2025,Turin CH,Clay,R32,76,164,(8)Bublik d. (Alt)Matteo Gigante [ITA],6-3 6-1
7‑May‑2025,Rome Masters,Clay,R64,76,7,(6)Casper Ruud [NOR] d. Bublik,6-4 4-6 6-3
7‑May‑2025,Rome Masters,Clay,R128,76,77,Bublik d. Roman Safiullin [RUS],6-3 7-6(4)
23‑Apr‑2025,Madrid Masters,Clay,R16,75,23,(22)Jakub Mensik [CZE] d. Bublik,6-3 6-2
23‑Apr‑2025,Madrid Masters,Clay,R32,75,8,Bublik d. (7)Andrey Rublev [RUS],6-4 0-6 6-4
23‑Apr‑2025,Madrid Masters,Clay,R64,75,26,Bublik d. (25)Alexei Popyrin [AUS],6-4 7-6(4)
23‑Apr‑2025,Madrid Masters,Clay,R128,75,38,Bublik d. Alex Michelsen [USA],7-6(2) 7-6(4)
14‑Apr‑2025,Munich,Clay,R32,78,50,Zizou Bergs [BEL] d. (Q)Bublik,6-7(5) 6-4 7-5
14‑Apr‑2025,Munich,Clay,Q2,78,549,(3)Bublik d. (WC)Diego Dedura Palomero [GER],6-3 6-3
14‑Apr‑2025,Munich,Clay,Q1,78,133,(3)Bublik d. Alexander Ritschard [SUI],6-2 6-3
7‑Apr‑2025,Monte Carlo Masters,Clay,Q1,76,109,(WC)Dusan Lajovic [SRB] d. (14)Bublik,6-2 6-7(5) 6-0
19‑Mar‑2025,Miami Masters,Hard,R64,80,13,(12)Tommy Paul [USA] d. Bublik,5-7 7-5 6-4
19‑Mar‑2025,Miami Masters,Hard,R128,80,36,Bublik d. Sebastian Baez [ARG],6-3 6-4
11‑Mar‑2025,Phoenix CH,Hard,F,82,80,Joao Fonseca [BRA] d. Bublik,7-6(5) 7-6(0)
11‑Mar‑2025,Phoenix CH,Hard,SF,82,36,Bublik d. (1)Nuno Borges [POR],6-3 6-4
11‑Mar‑2025,Phoenix CH,Hard,QF,82,79,Bublik d. Corentin Moutet [FRA],2-6 7-6(4) 7-5
11‑Mar‑2025,Phoenix CH,Hard,R16,82,83,Bublik d. Rinky Hijikata [AUS],6-2 5-7 6-3
11‑Mar‑2025,Phoenix CH,Hard,R32,82,64,Bublik d. (5)Aleksandar Vukic [AUS],6-3 3-6 6-3
5‑Mar‑2025,Indian Wells Masters,Hard,R128,82,349,(Q)Yosuke Watanuki [JPN] d. Bublik,6-3 3-6 6-3
24‑Feb‑2025,Dubai,Hard,R32,51,21,Felix Auger Aliassime [CAN] d. Bublik,7-6(7) 6-7(4) 6-3
17‑Feb‑2025,Doha,Hard,R32,48,10,(5)Andrey Rublev [RUS] d. Bublik,6-3 6-4
10‑Feb‑2025,Marseille,Hard,R16,48,17,(2)Ugo Humbert [FRA] d. Bublik,7-6(7) 6-4
10‑Feb‑2025,Marseille,Hard,R32,48,128,Bublik d. (WC)Richard Gasquet [FRA],6-4 6-4
3‑Feb‑2025,Rotterdam,Hard,R32,49,47,Jakub Mensik [CZE] d. Bublik,6-4 6-4
27‑Jan‑2025,Montpellier,Hard,QF,39,102,(Q)Aleksandar Kovacevic [USA] d. (4)Bublik,6-3 6-2
27‑Jan‑2025,Montpellier,Hard,R16,39,118,(4)Bublik d. Dominik Koepfer [GER],6-4 6-2
13‑Jan‑2025,Australian Open,Hard,R128,37,31,(31)Francisco Cerundolo [ARG] d. Bublik,7-6(1) 6-3 6-2
6‑Jan‑2025,Adelaide,Hard,R32,33,55,Miomir Kecmanovic [SRB] d. (6)Bublik,6-4 6-2