Rank,,vs. Jannik Sinner,vs. Carlos Alcaraz,vs. Alexander Zverev,vs. Taylor Fritz,vs. Jack Draper,vs. Novak Djokovic,vs. Lorenzo Musetti,vs. Ben Shelton,vs. Holger Rune,vs. Andrey Rublev,vs. Frances Tiafoe,vs. Casper Ruud,vs. Alex De Minaur,vs. Daniil Medvedev,vs. Tommy Paul,vs. top 1-5,vs. top 1-10,vs top 1-15
1,Jannik Sinner,,5-9,3-4,4-1,1-1,6-4,2-0,6-1,3-2,7-3,4-1,4-0,10-0,8-7,4-1,13-15,37-25,67-34
2,Carlos Alcaraz,9-5,,5-6,3-0,4-2,3-5,7-1,3-0,2-2,3-1,2-1,4-1,4-0,6-2,5-2,21-13,39-22,60-28
3,Alexander Zverev,4-3,6-5,,5-8,0-0,5-9,1-3,3-0,3-1,7-3,8-1,4-2,8-2,7-13,1-2,15-16,34-32,62-52
4,Taylor Fritz,1-4,0-3,8-5,,2-3,0-10,2-3,1-0,2-1,4-4,7-1,1-3,5-6,1-1,4-3,11-15,20-33,38-47
5,Jack Draper,1-1,2-4,0-0,3-2,,0-1,4-0,1-0,1-1,0-4,1-1,0-1,1-4,0-1,4-2,6-7,12-13,18-22
6,Novak Djokovic,4-6,5-3,9-5,10-0,1-0,,8-1,1-0,4-2,5-1,2-0,5-1,3-1,10-5,1-0,29-14,47-18,68-25
7,Lorenzo Musetti,0-2,1-7,3-1,3-2,0-4,1-8,,2-1,1-2,0-1,4-4,1-2,3-1,1-2,0-1,7-16,11-28,20-38
8,Ben Shelton,1-6,0-3,0-3,0-1,0-1,0-1,1-2,,0-1,1-0,2-1,1-2,0-0,1-0,2-2,1-14,3-18,9-23
9,Holger Rune,2-3,2-2,1-3,1-2,1-1,2-4,2-1,1-0,,1-2,0-1,2-6,3-2,2-2,0-0,7-11,13-18,20-29
10,Andrey Rublev,3-7,1-3,3-7,4-4,4-0,1-5,1-0,0-1,2-1,,1-3,5-3,4-4,2-8,5-1,15-21,19-28,36-47
11,Frances Tiafoe,1-4,1-2,1-8,1-7,1-1,0-2,4-4,1-2,1-0,3-1,,0-0,1-3,2-5,2-3,5-22,14-31,19-42
12,Casper Ruud,0-4,1-4,2-4,3-1,1-0,1-5,2-1,2-1,6-2,3-5,0-0,,1-2,1-3,3-2,7-13,21-27,26-34
13,Alex De Minaur,0-10,0-4,2-8,6-5,4-1,1-3,1-3,0-0,2-3,4-4,3-1,2-1,,4-7,5-1,12-28,20-41,34-51
14,Daniil Medvedev,7-8,2-6,13-7,1-1,1-0,5-10,2-1,0-1,2-2,8-2,5-2,3-1,7-4,,4-1,24-22,41-38,60-46
15,Tommy Paul,1-4,2-5,2-1,3-4,2-4,0-1,1-0,2-2,0-0,1-5,3-2,2-3,1-5,1-4,,10-18,14-26,21-40
,,JS,CA,AZ,TF,JD,ND,LM,BS,HR,AR,FT,CR,ADM,DM,TP,vs1-5,vs1-10,vs1-15